Fecha entrada,Fecha Anulacion,Fecha venta,Noches,Tip.Hab.Fra.,Régimen factura,AD,NI,CU,Horario venta,Precio alojamiento,Precio desayuno,Precio almuerzo,Precio cena,Cantidad Habitaciones,Mes Entrada,Mes Venta,Antelacion,Score Canc
2016-08-20,2016-08-10,2016-08-08,7,EC,SA,2,2,0,Tarde,1329.04002,0.0,0.0,0.0,1,August,August,12,0.8461538461538461
2016-09-08,2016-08-10,2016-08-08,3,EC,PC,2,0,0,Tarde,416.91,21.93,54.84,54.84,1,September,August,31,0.9375
2016-08-26,2016-08-09,2016-08-08,4,EC,HD,2,0,1,Noche,372.64,15.52,0.0,0.0,1,August,August,18,0.9473684210526315
2016-08-17,2016-08-12,2016-08-08,10,EC,SA,2,0,0,Noche,1412.46,0.0,0.0,0.0,1,August,August,9,0.6
2016-08-18,2016-08-18,2016-08-08,3,EC,PC,2,1,0,Noche,433.11,22.8,57.0,57.0,1,August,August,10,0.09090909090909091
2016-08-16,2016-08-10,2016-08-08,3,DSC,SA,2,0,0,Noche,525.42,0.0,0.0,0.0,1,August,August,8,0.7777777777777778
2016-08-19,2016-08-11,2016-08-08,3,EC,SA,2,0,0,Mañana,390.08001,0.0,0.0,0.0,1,August,August,11,0.75
2016-08-25,2016-08-20,2016-08-09,3,EM,SA,2,1,0,Mañana,579.09,0.0,0.0,0.0,1,August,August,16,0.35294117647058826
2016-08-23,2016-08-09,2016-08-09,5,EC,HD,2,0,0,Mañana,772.6999999999999,32.2,0.0,0.0,1,August,August,14,1.0
2016-08-28,2016-08-11,2016-08-09,3,EC,PC,2,0,0,Mañana,208.71999,10.98,27.48,27.48,1,August,August,19,0.9
2016-08-14,2016-08-11,2016-06-22,7,DSC,MPC,2,0,0,Tarde,975.05002,45.36,0.0,113.4,2,August,June,53,0.07407407407407407
2016-08-14,2016-08-11,2016-06-22,7,DSC,MPC,2,0,0,Tarde,487.52501,22.68,0.0,56.7,2,August,June,53,0.07407407407407407
2016-08-26,2016-08-13,2016-08-09,5,EC,PC,3,0,0,Tarde,580.43,30.55,76.35,76.35,1,August,August,17,0.7777777777777778
2016-08-17,2016-08-10,2016-08-09,4,DSC,SA,2,0,0,Tarde,700.56,0.0,0.0,0.0,1,August,August,8,0.8888888888888888
2016-08-11,2016-08-10,2016-08-09,1,EC,SA,2,0,0,Tarde,148.64,0.0,0.0,0.0,1,August,August,2,0.6666666666666666
2016-08-22,2016-08-10,2016-08-09,3,EC,MPC,2,1,0,Mañana,352.5,16.41,0.0,40.98,1,August,August,13,0.9285714285714286
